timeframe,time,buffer0,buffer1,buffer2,buffer3,buffer4,buffer5,buffer6,buffer7,buffer8,buffer9,buffer10,buffer11,buffer12,buffer13,buffer14
M15,2026.09.08 06:45,32.8624002530336342,22.3943301362645748,16.0532263000386131,2.0000000000000000,1.0000000000000000,-1.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
M15,2026.09.08 07:00,31.5815875034961167,21.3353391581580603,15.7918678074285950,2.0000000000000000,1.0000000000000000,-1.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
M15,2026.09.08 07:15,29.6387055402068925,19.8955312002597147,18.2253633147589618,2.0000000000000000,1.0000000000000000,-1.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
M15,2026.09.08 07:30,27.8346008600097541,19.0249708962218804,17.4278838371419305,2.0000000000000000,1.0000000000000000,-1.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
M15,2026.09.08 07:45,26.3609697681578155,19.0262167275109562,16.4692094370914149,2.0000000000000000,1.0000000000000000,-1.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
M15,2026.09.08 08:00,25.4350455061597245,20.6895935867418004,15.8006233393600386,2.0000000000000000,1.0000000000000000,-1.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
M15,2026.09.08 08:15,23.9761491390503174,19.1285398105574167,17.3031322077769367,1.0000000000000000,1.0000000000000000,-1.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
M15,2026.09.08 08:30,22.9309426384932672,18.8956735996865533,15.6664455883202365,1.0000000000000000,1.0000000000000000,-1.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
M15,2026.09.08 08:45,23.5578436024223344,26.9365856857467634,13.9670442600454924,1.0000000000000000,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
M15,2026.09.08 09:00,25.3376968229389057,33.7403793653383133,11.7086189704951594,2.0000000000000000,1.0000000000000000,1.0000000000000000,0.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
